Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Score_class
NCAA Football 08,14,2007,10,Electronic Arts,0.65,0.0,0.0,0.05,0.7,81.0,30.0,7.8,44.0,EA Sports,1,High
Skylanders: Trap Team,13,2014,0,Activision,0.38,0.26,0.0,0.06,0.7,86.0,4.0,7.1,18.0,Toys for Bob,2,High
Star Wars: Obi-Wan,15,2001,0,Activision,0.52,0.16,0.0,0.02,0.7,58.0,28.0,5.9,14.0,LucasArts,6,Low
Ace Attorney Investigations: Miles Edgeworth,2,2009,1,Capcom,0.23,0.14,0.3,0.04,0.7,78.0,51.0,8.4,79.0,Capcom,6,Average
Kill.Switch,7,2003,8,Sony Computer Entertainment,0.34,0.27,0.0,0.09,0.7,73.0,33.0,8.3,19.0,Namco,6,Average
Catherine,8,2011,1,Deep Silver,0.3,0.14,0.2,0.06,0.7,79.0,61.0,8.1,372.0,Atlus,4,High
SplashDown,7,2001,6,Atari,0.34,0.27,0.0,0.09,0.7,84.0,22.0,8.2,11.0,Rainbow Studios,1,High
Jade Empire,15,2005,7,Microsoft Game Studios,0.48,0.19,0.0,0.03,0.7,89.0,84.0,8.6,113.0,BioWare,4,High
Infinite Undiscovery,14,2008,7,Square Enix,0.34,0.18,0.12,0.06,0.7,68.0,60.0,7.0,158.0,Tri-Ace,6,Average
Lego Star Wars: The Force Awakens,9,2016,0,Warner Bros. Interactive Entertainment,0.16,0.43,0.01,0.11,0.7,78.0,61.0,7.5,91.0,TT Games,2,Average
NHL 12,14,2011,10,Electronic Arts,0.55,0.1,0.0,0.05,0.7,86.0,56.0,7.0,72.0,Electronic Arts,2,High
Advance Wars,3,2001,11,Nintendo,0.5,0.19,0.0,0.01,0.7,92.0,28.0,9.0,95.0,Intelligent Systems,1,High
NASCAR 2001,7,2000,6,Electronic Arts,0.34,0.27,0.0,0.09,0.7,66.0,16.0,6.6,9.0,EA Sports,1,Low
Mafia,7,2004,0,Illusion Softworks,0.34,0.27,0.0,0.09,0.7,65.0,30.0,7.6,62.0,Illusion Softworks,4,Low
Ape Escape: On the Loose,10,2005,4,Sony Computer Entertainment,0.52,0.0,0.12,0.05,0.7,66.0,35.0,6.4,16.0,"SCEA, Sims",1,Low
Mobile Suit Gundam: Journey to Jaburo,7,2000,9,Namco Bandai Games,0.16,0.13,0.36,0.04,0.7,58.0,16.0,8.1,49.0,Bandai,6,Low
MLB 08: The Show,8,2008,10,Sony Computer Entertainment,0.64,0.0,0.0,0.05,0.7,85.0,33.0,8.7,76.0,SCEA San Diego Studios,1,High
TimeSplitters 2,7,2002,8,Eidos Interactive,0.34,0.27,0.0,0.09,0.7,90.0,33.0,8.8,127.0,Free Radical Design,6,High
Omerta: City of Gangsters,14,2011,9,Konami Digital Entertainment,0.42,0.22,0.0,0.06,0.7,43.0,18.0,3.3,25.0,Kalypso,6,Low
Driver: San Francisco,14,2011,6,Ubisoft,0.25,0.37,0.0,0.07,0.7,80.0,63.0,7.6,130.0,Ubisoft Reflections,6,High
Classic NES Series: Zelda II: The Adventure of Link,3,2004,1,Nintendo,0.37,0.14,0.17,0.01,0.7,73.0,8.0,7.5,39.0,Nintendo,1,Average
James Bond 007: Blood Stone,8,2010,8,Activision,0.18,0.36,0.02,0.13,0.7,65.0,49.0,7.4,45.0,Bizarre Creations,6,Low
Metal Gear Solid: Portable Ops Plus,10,2007,0,Konami Digital Entertainment,0.26,0.0,0.26,0.17,0.69,65.0,19.0,7.5,27.0,Kojima Productions,6,Low
LEGO Rock Band,12,2009,3,Warner Bros. Interactive Entertainment,0.41,0.22,0.0,0.06,0.69,70.0,15.0,6.8,6.0,TT Fusion,2,Average
Halo 2 Multiplayer Map Pack,15,2005,8,Microsoft Game Studios,0.54,0.13,0.0,0.02,0.69,89.0,37.0,7.4,34.0,Bungie Software,4,High
Mortal Kombat: Shaolin Monks,7,2005,0,Midway Games,0.58,0.02,0.0,0.09,0.69,77.0,41.0,8.6,74.0,Midway Studios - Los Angeles,4,Average
MotionSports,14,2010,10,Ubisoft,0.38,0.25,0.0,0.06,0.69,40.0,30.0,4.4,9.0,Ubisoft Milan,6,Low
MX vs. ATV Unleashed: On the Edge,10,2006,6,THQ,0.64,0.0,0.0,0.05,0.69,68.0,22.0,8.1,7.0,Rainbow Studios,1,Average
Mario Pinball Land,3,2004,3,Nintendo,0.5,0.18,0.0,0.01,0.69,62.0,35.0,4.9,11.0,Fuse Games Limited,1,Low
Dragon Ball Z: Budokai,4,2003,2,Atari,0.53,0.14,0.0,0.02,0.69,65.0,16.0,6.3,15.0,Pyramid,6,Low
Plants vs. Zombies: Garden Warfare,16,2014,8,Electronic Arts,0.39,0.23,0.0,0.06,0.69,76.0,65.0,7.4,438.0,PopCap,2,Average
Need for Speed Rivals,16,2013,6,Electronic Arts,0.46,0.17,0.0,0.07,0.69,75.0,18.0,5.8,175.0,Ghost Games,2,Average
The Sims 2: Apartment Pets,2,2008,9,Electronic Arts,0.31,0.3,0.0,0.07,0.69,50.0,12.0,3.3,4.0,Full Fat,1,Low
Harry Potter and the Chamber of Secrets,4,2002,0,Electronic Arts,0.53,0.14,0.0,0.02,0.69,77.0,14.0,8.3,27.0,Eurocom Entertainment Software,1,Average
Prince of Persia: The Forgotten Sands,8,2010,0,Ubisoft,0.19,0.36,0.01,0.12,0.69,75.0,49.0,7.6,120.0,Ubisoft Montreal,6,Average
The Lord of the Rings: The Return of the King,4,2003,0,Electronic Arts,0.53,0.14,0.0,0.02,0.69,84.0,23.0,8.5,21.0,Hypnos Entertainment,6,High
The Sims: Medieval,5,2011,9,Electronic Arts,0.28,0.32,0.0,0.09,0.69,77.0,56.0,6.1,173.0,The Sims Studio,6,Average
Top Spin 4,8,2011,10,Take-Two Interactive,0.17,0.39,0.0,0.13,0.69,82.0,37.0,7.7,55.0,2K Czech,1,High
Baldur's Gate: Dark Alliance II,7,2004,7,Interplay,0.34,0.26,0.0,0.09,0.68,78.0,44.0,8.7,54.0,Black Isle Studios,6,Average
Shark Tale,3,2004,0,Activision,0.49,0.18,0.0,0.01,0.68,63.0,8.0,9.0,4.0,Vicarious Visions,1,Low
IL-2 Sturmovik: Birds of Prey,8,2009,9,505 Games,0.34,0.25,0.0,0.1,0.68,81.0,28.0,7.3,20.0,Gaijin Entertainment,6,High
NBA Street Vol. 2,15,2003,10,Electronic Arts,0.62,0.04,0.0,0.02,0.68,89.0,22.0,8.8,24.0,Electronic Arts,1,High
MX vs. ATV Untamed,14,2007,6,THQ,0.55,0.08,0.0,0.06,0.68,70.0,43.0,7.1,17.0,Rainbow Studios,1,Average
The Last Remnant,14,2008,7,Square Enix,0.25,0.2,0.18,0.06,0.68,66.0,49.0,6.9,122.0,Square Enix,4,Low
NCAA Football 2005,15,2004,10,Electronic Arts,0.63,0.02,0.0,0.03,0.68,89.0,29.0,8.0,12.0,EA Sports,1,High
The Sly Collection,8,2010,4,Sony Computer Entertainment,0.52,0.08,0.01,0.08,0.68,85.0,46.0,8.8,172.0,Sanzaru Games,2,High
Naruto: Clash of Ninja,4,2003,2,Tomy Corporation,0.53,0.14,0.0,0.02,0.68,72.0,21.0,8.1,20.0,Tomy Corporation,6,Average
Sniper Elite 3,9,2014,8,505 Games,0.24,0.34,0.0,0.11,0.68,67.0,41.0,7.1,178.0,Rebellion,4,Average
Prince of Persia: The Two Thrones,7,2005,0,Ubisoft,0.57,0.02,0.0,0.09,0.68,85.0,46.0,8.5,111.0,Ubisoft Montreal,4,High
Hot Shots Golf: Open Tee 2,10,2007,10,Sony Computer Entertainment,0.21,0.11,0.28,0.08,0.68,82.0,42.0,8.6,12.0,Clap Hanz,1,High
Suikoden II,6,1998,7,Konami Digital Entertainment,0.15,0.1,0.38,0.04,0.68,82.0,8.0,8.4,162.0,Konami,6,High
Iron Man,8,2008,0,Sega,0.32,0.25,0.0,0.11,0.68,42.0,27.0,6.2,45.0,Secret Level,6,Low
FIFA Soccer 06,15,2005,10,Electronic Arts,0.29,0.38,0.0,0.01,0.68,80.0,39.0,7.5,22.0,EA Canada,1,High
Fight Night 2004,15,2004,2,Electronic Arts,0.51,0.15,0.0,0.02,0.68,85.0,47.0,8.7,20.0,EA Sports,6,High
.hack//Mutation Part 2,7,2002,7,Atari,0.23,0.18,0.2,0.06,0.68,76.0,24.0,8.9,81.0,CyberConnect2,6,Average
Wolfenstein: The New Order,16,2014,8,Bethesda Softworks,0.34,0.28,0.0,0.06,0.68,79.0,18.0,7.8,397.0,MachineGames,4,High
Cars: Mater-National Championship,2,2007,6,THQ,0.63,0.0,0.0,0.05,0.68,69.0,7.0,6.8,5.0,Rainbow Studios,1,Average
Kirby's Dream Collection: Special Edition,12,2012,0,Nintendo,0.33,0.0,0.33,0.02,0.67,82.0,6.0,8.8,37.0,HAL Labs,2,High
Return to Castle Wolfenstein: Tides of War,15,2003,8,Activision,0.49,0.16,0.0,0.02,0.67,84.0,38.0,8.8,33.0,Nerve Software,4,High
RIFT,5,2011,7,Unknown,0.44,0.16,0.0,0.07,0.67,84.0,59.0,7.3,561.0,Trion Worlds,6,High
Spider-Man 3,8,2007,4,Activision,0.26,0.29,0.02,0.11,0.67,60.0,33.0,7.0,40.0,Treyarch,6,Low
Mass Effect,5,2008,7,Electronic Arts,0.0,0.59,0.0,0.08,0.67,89.0,45.0,8.6,2386.0,"BioWare, Demiurge Studios",4,High
The Evil Within,16,2014,0,Bethesda Softworks,0.35,0.25,0.0,0.06,0.67,79.0,24.0,7.3,430.0,Tango Gameworks,4,High
Armored Core 3,7,2002,9,Metro 3D,0.22,0.17,0.23,0.06,0.67,74.0,23.0,9.0,33.0,From Software,6,Average
Star Wars: Republic Commando,15,2005,8,Activision,0.48,0.17,0.0,0.02,0.67,78.0,54.0,8.9,89.0,LucasArts,6,Average
The LEGO Movie Videogame,9,2014,0,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67,71.0,31.0,7.1,98.0,TT Games,2,Average
Turok,8,2008,0,Touchstone,0.35,0.21,0.01,0.1,0.67,67.0,38.0,6.0,39.0,Propaganda Games,4,Average
Terraria,14,2013,0,505 Games,0.35,0.27,0.0,0.06,0.67,81.0,39.0,7.2,139.0,Engine Software,6,High
Red Steel,12,2006,8,Ubisoft,0.54,0.03,0.04,0.05,0.67,63.0,54.0,6.8,121.0,Ubisoft Paris,6,Low
Unreal Tournament III,8,2007,8,Midway Games,0.33,0.23,0.0,0.1,0.67,86.0,42.0,7.7,127.0,Epic Games,4,High
Fossil Fighters: Champions,2,2010,7,Nintendo,0.31,0.0,0.34,0.02,0.67,68.0,8.0,7.1,11.0,"RED Entertainment, Artdink",1,Average
The Sims 3,2,2010,9,Electronic Arts,0.38,0.22,0.0,0.06,0.67,73.0,9.0,6.4,20.0,Exient Entertainment,1,Average
NFL Street,15,2004,10,Electronic Arts,0.49,0.15,0.0,0.02,0.66,81.0,38.0,8.8,9.0,EA Tiburon,1,High
Final Fantasy Crystal Chronicles: Ring of Fates,2,2007,7,Square Enix,0.22,0.01,0.42,0.02,0.66,77.0,41.0,7.2,25.0,Square Enix,2,Average
Bakugan: Battle Brawlers,12,2009,0,Activision,0.59,0.03,0.0,0.05,0.66,62.0,12.0,7.2,11.0,Now Production,1,Low
Blazing Angels: Squadrons of WWII,8,2006,9,Ubisoft,0.35,0.22,0.0,0.1,0.66,67.0,26.0,6.9,9.0,Ubisoft,6,Average
WWE SmackDown vs. RAW 2007,10,2006,2,THQ,0.33,0.2,0.0,0.14,0.66,78.0,13.0,8.1,21.0,Yuke's,6,Average
F1 2015,9,2015,6,Codemasters,0.09,0.45,0.03,0.1,0.66,65.0,46.0,6.3,43.0,Codemasters,1,Low
Tony Hawk's Proving Ground,7,2007,10,Activision,0.55,0.02,0.0,0.09,0.66,65.0,6.0,6.6,17.0,Page 44 Studios,6,Low
The Darkness,8,2007,8,Take-Two Interactive,0.2,0.33,0.0,0.13,0.66,80.0,35.0,7.7,107.0,Starbreeze,4,High
MLB 2004,7,2003,10,Sony Computer Entertainment,0.32,0.25,0.0,0.08,0.66,61.0,21.0,7.9,9.0,989 Sports,1,Low
Darkstone,6,2001,7,Electronic Arts,0.37,0.25,0.0,0.04,0.66,58.0,10.0,8.3,12.0,Delphine Software International,6,Low
NCAA March Madness 2003,7,2002,10,Electronic Arts,0.32,0.25,0.0,0.08,0.66,74.0,13.0,8.0,27.0,NuFX,1,Average
Thrillville,7,2006,11,Atari,0.55,0.02,0.0,0.09,0.66,69.0,32.0,2.9,52.0,Frontier Developments,2,Average
Castlevania: Lords of Shadow,14,2010,0,Konami Digital Entertainment,0.42,0.17,0.01,0.05,0.66,83.0,70.0,7.8,237.0,Mercury Steam,4,High
NHL 10,14,2009,10,Electronic Arts,0.51,0.1,0.0,0.06,0.66,88.0,52.0,8.4,71.0,EA Canada,2,High
Street Fighter Anniversary Collection,7,2004,2,Capcom,0.32,0.25,0.0,0.08,0.66,78.0,30.0,8.7,20.0,Capcom,6,Average
NHL 13,14,2012,10,Electronic Arts,0.51,0.1,0.0,0.05,0.66,83.0,44.0,6.6,86.0,Electronic Arts,2,High
Napoleon: Total War,5,2010,11,Sega,0.02,0.53,0.0,0.12,0.66,81.0,56.0,7.9,515.0,Creative Assembly,6,High
Rayman Legends,13,2013,4,Ubisoft,0.25,0.33,0.03,0.05,0.66,92.0,35.0,8.7,465.0,Ubisoft Montpellier,2,High
The Sims: Bustin' Out,4,2003,9,Electronic Arts,0.43,0.2,0.0,0.03,0.66,81.0,30.0,9.0,15.0,Maxis,6,High
BioShock Infinite,5,2013,8,Take-Two Interactive,0.29,0.3,0.0,0.07,0.66,94.0,68.0,8.5,7322.0,Irrational Games,4,High
Ratatouille,10,2007,0,THQ,0.22,0.27,0.0,0.16,0.66,64.0,7.0,7.1,7.0,Locomotive Games,1,Low
Lollipop Chainsaw,8,2012,0,Warner Bros. Interactive Entertainment,0.27,0.2,0.11,0.08,0.66,67.0,37.0,7.1,199.0,Grasshopper Manufacture,4,Average
Tom Clancy's EndWar,8,2008,11,Ubisoft,0.33,0.22,0.01,0.1,0.66,76.0,33.0,6.6,42.0,Ubisoft Shanghai,6,Average
Shrek: Hassle at the Castle,3,2002,0,TDK Mediactive,0.47,0.17,0.0,0.01,0.66,71.0,7.0,7.4,5.0,TOSE,1,Average
Suikoden IV,7,2004,7,Konami Digital Entertainment,0.17,0.13,0.3,0.05,0.66,63.0,44.0,7.3,47.0,KCET,6,Low
Gods Eater Burst,10,2010,0,Namco Bandai Games,0.03,0.0,0.62,0.0,0.66,71.0,30.0,7.9,35.0,"Shift, Bandai Namco Games",6,Average
Fist of the North Star: Ken's Rage,8,2010,0,Ubisoft Annecy,0.06,0.03,0.55,0.01,0.66,60.0,30.0,6.9,29.0,"Koei, Omega Force",4,Low
One Piece: Pirate Warriors 2,8,2013,0,Namco Bandai Games,0.0,0.19,0.42,0.05,0.66,71.0,35.0,7.8,61.0,Omega Force,6,Average
Brothers In Arms: Road to Hill 30,15,2005,8,Ubisoft,0.49,0.14,0.0,0.02,0.66,88.0,64.0,8.0,69.0,Gearbox Software,4,High
LEGO Jurassic World,16,2015,0,Warner Bros. Interactive Entertainment,0.38,0.22,0.0,0.06,0.65,70.0,17.0,6.7,44.0,TT Games,2,Average
Kung Fu Panda,7,2008,0,Activision,0.24,0.0,0.0,0.41,0.65,73.0,6.0,8.6,5.0,Xpec,2,Average
Freedom Wars,11,2014,7,Sony Computer Entertainment,0.15,0.1,0.32,0.08,0.65,73.0,39.0,8.3,265.0,"Dimps Corporation, SCE Japan Studio",6,Average
Shaun White Snowboarding,8,2008,10,Ubisoft,0.31,0.23,0.01,0.1,0.65,63.0,30.0,6.3,26.0,Ubisoft Montreal,6,Low
Radiata Stories,7,2005,7,Square Enix,0.18,0.14,0.29,0.05,0.65,74.0,36.0,9.0,54.0,Tri-Ace,6,Average
F-Zero GX,4,2003,6,Nintendo,0.41,0.11,0.12,0.02,0.65,89.0,50.0,8.5,161.0,Amusement Vision,6,High
Disney's Chicken Little,7,2005,4,Disney Interactive Studios,0.32,0.25,0.0,0.08,0.65,60.0,20.0,8.9,7.0,Avalanche Software,2,Low
Scene It? Box Office Smash,14,2008,3,Microsoft Game Studios,0.33,0.25,0.0,0.07,0.65,76.0,32.0,7.4,25.0,"Krome Studios, Screenlife Games",6,Average
Yoshi Topsy-Turvy,3,2004,4,Nintendo,0.25,0.09,0.3,0.01,0.65,60.0,23.0,6.6,5.0,Artoon,1,Low
Monster Jam: Maximum Destruction,7,2002,6,Ubisoft,0.32,0.25,0.0,0.08,0.65,47.0,11.0,6.0,6.0,Ubisoft,6,Low
Tiger Woods PGA Tour 09,8,2008,10,Electronic Arts,0.34,0.22,0.0,0.1,0.65,82.0,34.0,7.2,9.0,EA Tiburon,1,High
Mortal Kombat,11,2012,2,Warner Bros. Interactive Entertainment,0.42,0.13,0.0,0.1,0.65,85.0,51.0,7.8,192.0,NetherRealm Studios,4,High
Tiger Woods PGA Tour 09,14,2008,10,Electronic Arts,0.35,0.23,0.0,0.07,0.65,84.0,41.0,7.8,29.0,EA Tiburon,1,High
Advance Wars 2: Black Hole Rising,3,2003,11,Nintendo,0.47,0.17,0.0,0.01,0.65,89.0,34.0,9.4,97.0,Intelligent Systems,1,High
Wario: Master of Disguise,2,2007,4,Nintendo,0.28,0.02,0.33,0.03,0.65,60.0,35.0,7.4,19.0,Suzak,2,Low
The Last Story,12,2011,7,Nintendo,0.3,0.13,0.18,0.04,0.65,80.0,61.0,8.4,179.0,"Mistwalker, Artoon",6,High
Drakengard,7,2003,7,Square Enix,0.19,0.15,0.26,0.05,0.65,63.0,55.0,9.1,88.0,Cavia Inc.,4,Low
Champions: Return to Arms,7,2005,7,Sony Online Entertainment,0.32,0.25,0.0,0.08,0.65,77.0,48.0,8.8,43.0,Snowblind Studios,6,Average
Harry Potter and the Goblet of Fire,7,2005,0,Electronic Arts,0.54,0.02,0.0,0.09,0.65,68.0,29.0,6.7,48.0,Electronic Arts,2,Average
Tiger Woods PGA Tour 10,14,2009,10,Electronic Arts,0.39,0.2,0.0,0.06,0.65,80.0,51.0,6.9,20.0,EA Tiburon,1,High
007: Quantum of Solace,12,2008,0,Activision,0.29,0.28,0.01,0.07,0.65,54.0,11.0,7.5,26.0,Treyarch,6,Low
Farming Simulator 17,5,2016,9,Focus Home Interactive,0.03,0.58,0.0,0.04,0.65,64.0,5.0,8.0,20.0,Giants Software,1,Low
Borderlands 2,11,2014,8,Take-Two Interactive,0.32,0.16,0.01,0.15,0.64,64.0,31.0,7.6,358.0,Iron Galaxy Studios,4,Low
Crash Bandicoot Purple: Ripto's Rampage,3,2004,4,Vivendi Games,0.46,0.17,0.0,0.01,0.64,67.0,23.0,6.6,12.0,Vicarious Visions,1,Average
Assassin's Creed IV: Black Flag,5,2013,0,Ubisoft,0.22,0.38,0.0,0.05,0.64,84.0,10.0,7.7,1470.0,Ubisoft,4,High
Need For Speed: Undercover,12,2008,6,Electronic Arts,0.27,0.31,0.0,0.07,0.64,54.0,12.0,6.2,29.0,Exient Entertainment,6,Low
Spyro: A Hero's Tail,7,2004,4,Vivendi Games,0.32,0.25,0.0,0.08,0.64,60.0,16.0,8.0,44.0,Eurocom Entertainment Software,1,Low
Crash: Twinsanity,7,2004,4,Vivendi Games,0.32,0.25,0.0,0.08,0.64,64.0,38.0,8.0,129.0,Traveller's Tales,1,Low
The LEGO Movie Videogame,13,2014,0,Warner Bros. Interactive Entertainment,0.33,0.23,0.03,0.05,0.64,68.0,5.0,7.7,25.0,TT Games,2,Average
Max Payne 2: The Fall of Max Payne,15,2003,8,Take-Two Interactive,0.47,0.15,0.0,0.02,0.64,84.0,34.0,8.4,49.0,Remedy Entertainment,4,High
Drawn to Life: The Next Chapter,2,2009,5,THQ,0.44,0.14,0.0,0.06,0.64,72.0,21.0,7.7,22.0,5TH Cell,1,Average
GoldenEye: Rogue Agent,7,2004,8,Electronic Arts,0.54,0.02,0.0,0.09,0.64,60.0,38.0,7.0,32.0,EA LA,6,Low
WWE 2K15,14,2014,10,Take-Two Interactive,0.38,0.2,0.0,0.06,0.64,50.0,5.0,4.0,65.0,Yuke's,6,Low
Star Ocean: First Departure,10,2007,7,Square Enix,0.2,0.13,0.22,0.09,0.64,74.0,32.0,7.4,28.0,TOSE,6,Average
James Bond 007: Everything or Nothing,15,2004,8,Electronic Arts,0.43,0.19,0.0,0.02,0.64,83.0,51.0,7.4,27.0,EA Redwood Shores,6,High
X2: Wolverine's Revenge,7,2003,4,Activision,0.31,0.24,0.0,0.08,0.64,58.0,24.0,7.2,13.0,GenePool,6,Low
NBA Live 06,15,2005,10,Electronic Arts,0.57,0.04,0.0,0.03,0.64,79.0,30.0,6.4,15.0,EA Canada,1,High
Rayman 3D,0,2011,4,Ubisoft,0.23,0.35,0.0,0.06,0.64,61.0,39.0,6.6,48.0,Ubisoft Casablanca,1,Low
Football Manager 2014,5,2013,10,Sega,0.0,0.6,0.0,0.03,0.64,85.0,41.0,5.5,275.0,Sports Interactive,1,High
TimeSplitters 2,15,2002,8,Eidos Interactive,0.29,0.33,0.0,0.01,0.64,88.0,20.0,7.7,34.0,Free Radical Design,6,High
Onimusha: Dawn of Dreams,7,2006,0,Capcom,0.15,0.12,0.34,0.04,0.64,81.0,45.0,8.9,62.0,Capcom,4,High
Sengoku Basara: Samurai Heroes,8,2010,0,Capcom,0.17,0.04,0.4,0.02,0.64,61.0,37.0,7.9,29.0,Capcom,6,Low
Stuntman: Ignition,14,2007,6,THQ,0.25,0.31,0.0,0.07,0.64,75.0,38.0,7.3,31.0,Paradigm Entertainment,6,Average
Real Heroes: Firefighter,12,2009,0,Rondomedia,0.56,0.04,0.0,0.05,0.64,67.0,18.0,8.2,10.0,Epicenter Studios,2,Average
Dishonored 2,9,2016,0,Bethesda Softworks,0.22,0.32,0.0,0.1,0.64,88.0,56.0,7.7,569.0,Arkane Studios,4,High
The Crew,16,2014,6,Ubisoft,0.25,0.34,0.0,0.05,0.64,64.0,18.0,5.9,176.0,"Ubisoft Reflections, Ivory Tower",6,Low
Dragon Ball: Raging Blast 2,14,2010,2,Namco Bandai Games,0.49,0.09,0.01,0.05,0.64,57.0,33.0,7.4,30.0,Spike,6,Low
NHL 13,8,2012,10,Electronic Arts,0.33,0.21,0.0,0.09,0.64,84.0,22.0,6.8,60.0,Electronic Arts,2,High
Dead or Alive 5,8,2012,2,Tecmo Koei,0.23,0.14,0.2,0.07,0.64,74.0,34.0,7.7,109.0,Team Ninja,4,Average
Evolve,16,2015,8,Take-Two Interactive,0.37,0.2,0.0,0.06,0.64,74.0,31.0,5.1,336.0,Turtle Rock Studios,4,Average
Lemony Snicket's A Series of Unfortunate Events,7,2004,4,Activision,0.31,0.24,0.0,0.08,0.64,63.0,25.0,5.7,12.0,Adrenium,1,Low
Lost Planet: Extreme Condition,8,2008,8,Capcom,0.31,0.17,0.07,0.08,0.64,67.0,34.0,7.0,36.0,Capcom,6,Average
X-Men Legends II: Rise of Apocalypse,7,2005,7,Activision,0.53,0.02,0.0,0.09,0.63,82.0,44.0,7.3,41.0,Raven Software,6,High
LEGO Star Wars II: The Original Trilogy,14,2006,0,LucasArts,0.55,0.03,0.0,0.05,0.63,81.0,50.0,8.0,45.0,Traveller's Tales,2,High
Rock Band 3,12,2010,3,MTV Games,0.53,0.06,0.0,0.04,0.63,91.0,10.0,6.9,36.0,Backbone Entertainment,6,High
Dragon Age II,5,2011,0,Electronic Arts,0.23,0.33,0.0,0.08,0.63,82.0,45.0,4.5,4533.0,BioWare,4,High
Tony Hawk's Pro Skater 2x,15,2001,10,Activision,0.41,0.19,0.0,0.03,0.63,78.0,24.0,8.8,5.0,Treyarch,6,Average
NBA Live 08,8,2007,10,Electronic Arts,0.56,0.02,0.01,0.05,0.63,73.0,28.0,6.8,10.0,EA Canada,1,Average
FIFA Soccer 2003,15,2002,10,Electronic Arts,0.2,0.4,0.0,0.04,0.63,88.0,11.0,7.7,11.0,EA Canada,1,High
The Lord of the Rings: Conquest,14,2009,0,Electronic Arts,0.37,0.2,0.0,0.06,0.63,55.0,58.0,7.0,110.0,Pandemic Studios,6,Low
Far Cry 4,5,2014,8,Ubisoft,0.15,0.44,0.0,0.04,0.63,80.0,17.0,6.7,1064.0,Ubisoft Montreal,4,High
NASCAR 06: Total Team Control,7,2005,6,Electronic Arts,0.53,0.02,0.0,0.09,0.63,78.0,18.0,7.7,18.0,EA Sports,1,Average
Iron Man,10,2008,0,Sega,0.46,0.09,0.0,0.09,0.63,44.0,7.0,6.5,16.0,Artificial Mind and Movement,6,Low
White Knight Chronicles II,8,2010,7,Sony Computer Entertainment,0.23,0.09,0.27,0.04,0.63,60.0,45.0,7.1,64.0,Level 5,6,Low
Juiced 2: Hot Import Nights,14,2007,6,THQ,0.22,0.34,0.0,0.07,0.63,68.0,24.0,7.6,21.0,Juice Games,6,Average
Wolfenstein,8,2009,8,Activision,0.25,0.27,0.0,0.11,0.63,71.0,58.0,7.4,77.0,"id Software, Raven Software",4,Average
The Walking Dead: Survival Instinct,14,2013,8,Activision,0.46,0.11,0.0,0.05,0.63,32.0,30.0,4.0,410.0,Terminal Reality,4,Low
The Sims 3: Generations,5,2011,9,Electronic Arts,0.4,0.23,0.0,0.0,0.63,70.0,22.0,3.6,81.0,The Sims Studio,6,Average
Ape Escape 2,7,2002,4,Sony Computer Entertainment,0.12,0.09,0.38,0.03,0.63,82.0,31.0,8.4,32.0,SCE Japan Studio,1,High
Sega Rally Revo,8,2007,6,Sega,0.07,0.42,0.0,0.14,0.63,75.0,40.0,7.0,20.0,SEGA Racing Studio,1,Average
Shin Megami Tensei: Persona 3 FES,7,2007,7,Tecmo Koei,0.22,0.2,0.16,0.05,0.63,89.0,25.0,8.3,296.0,Atlus Co.,4,High
FIFA Soccer 2002,7,2001,10,Electronic Arts,0.31,0.24,0.0,0.08,0.63,82.0,17.0,5.8,28.0,EA Sports,1,High
Angry Birds Trilogy,0,2012,0,Activision,0.38,0.2,0.0,0.05,0.63,62.0,7.0,4.6,20.0,Exient Entertainment,1,Low
Condemned 2: Bloodshot,14,2008,0,Sega,0.38,0.19,0.0,0.06,0.63,80.0,76.0,8.4,178.0,Monolith Productions,4,High
Okami,7,2006,0,Capcom,0.11,0.03,0.15,0.34,0.63,93.0,69.0,9.3,327.0,Clover Studio,6,High
Shin Megami Tensei: Persona 3 Portable,10,2009,7,Ghostlight,0.18,0.06,0.34,0.05,0.63,89.0,40.0,8.3,317.0,Atlus,4,High
NHL 2001,6,2000,10,Electronic Arts,0.35,0.24,0.0,0.04,0.63,88.0,10.0,7.7,7.0,Page 44 Studios,1,High
Crysis 3,5,2013,8,Electronic Arts,0.17,0.39,0.0,0.07,0.63,76.0,47.0,6.5,1223.0,Crytek,4,Average
Buzz Lightyear of Star Command,6,2000,4,Activision,0.35,0.24,0.0,0.04,0.63,54.0,10.0,5.3,4.0,Traveller's Tales,1,Low
NHL 16,9,2015,10,Electronic Arts,0.36,0.16,0.0,0.11,0.63,78.0,28.0,5.5,157.0,"EA Sports, EA Canada",2,Average
Tony Hawk's Project 8,8,2006,10,Activision,0.3,0.22,0.01,0.1,0.63,76.0,43.0,7.2,14.0,Neversoft Entertainment,6,Average
Ghostbusters: The Video Game,14,2009,0,Atari,0.43,0.14,0.0,0.06,0.63,79.0,53.0,8.5,125.0,Terminal Reality,6,High
XCOM: Enemy Unknown,14,2012,11,Take-Two Interactive,0.36,0.21,0.0,0.05,0.62,90.0,35.0,8.3,366.0,Firaxis Games,4,High
